name,inat_place_id,orgname,fws_region,prop_type
Island Bay National Wildlife Refuge,119388,ISLAND BAY NATIONAL WILDLIFE REFUGE,4,NWR
Izembek National Wildlife Refuge,119389,IZEMBEK NATIONAL WILDLIFE REFUGE,7,NWR
J. Clark Salyer National Wildlife Refuge,119390,J. CLARK SALYER NATIONAL WILDLIFE REFUGE,6,NWR
J. Clark Salyer Wetland Management District,119322,J. CLARK SALYER WETLAND MANAGEMENT DISTRICT,6,WMD
J. N. Ding Darling National Wildlife Refuge,119323,J. N. DING DARLING NATIONAL WILDLIFE REFUGE,4,NWR
James Campbell National Wildlife Refuge,119324,JAMES CAMPBELL NATIONAL WILDLIFE REFUGE,1,NWR
James River National Wildlife Refuge,119325,JAMES RIVER NATIONAL WILDLIFE REFUGE,5,NWR
Jarvis Island National Wildlife Refuge,119391,JARVIS ISLAND NATIONAL WILDLIFE REFUGE,1,NWR
John H. Chafee National Wildlife Refuge,119392,JOHN H. CHAFEE NATIONAL WILDLIFE REFUGE,5,NWR
John Hay National Wildlife Refuge,119369,JOHN HAY NATIONAL WILDLIFE REFUGE,5,NWR
John Heinz National Wildlife Refuge At Tinicum,119370,JOHN HEINZ NATIONAL WILDLIFE REFUGE AT TINICUM,5,NWR
John W. And Louise Seier National Wildlife Refuge,119376,JOHN W. AND LOUISE SEIER NATIONAL WILDLIFE REFUGE,6,NWR
Johnson Lake National Wildlife Refuge,119377,JOHNSON LAKE NATIONAL WILDLIFE REFUGE,6,NWR
Johnston Atoll National Wildlife Refuge,119378,JOHNSTON ATOLL NATIONAL WILDLIFE REFUGE,1,NWR
Julia Butler Hansen Refuge For The Columbian White-tailed Deer,119379,JULIA BUTLER HANSEN REFUGE FOR THE COLUMBIAN WHITE-TAILED DEER,1,NWR
Kakahaia National Wildlife Refuge,119381,KAKAHAIA NATIONAL WILDLIFE REFUGE,1,NWR
Kankakee National Wildlife Refuge And Conservation Area,119382,KANKAKEE NATIONAL WILDLIFE REFUGE AND CONSERVATION AREA,3,NWR
Kanuti National Wildlife Refuge,119383,KANUTI NATIONAL WILDLIFE REFUGE,7,NWR
Karl E. Mundt National Wildlife Refuge,119393,KARL E. MUNDT NATIONAL WILDLIFE REFUGE,6,NWR
Kealia Pond National Wildlife Refuge,119394,KEALIA POND NATIONAL WILDLIFE REFUGE,1,NWR
Kellys Slough National Wildlife Refuge,119395,KELLYS SLOUGH NATIONAL WILDLIFE REFUGE,6,NWR
Kenai National Wildlife Refuge,119690,KENAI NATIONAL WILDLIFE REFUGE,7,NWR
Kern National Wildlife Refuge,119396,KERN NATIONAL WILDLIFE REFUGE,8,NWR
Key Cave National Wildlife Refuge,119398,KEY CAVE NATIONAL WILDLIFE REFUGE,4,NWR
Key West National Wildlife Refuge,119399,KEY WEST NATIONAL WILDLIFE REFUGE,4,NWR
Kilauea Point National Wildlife Refuge,119400,KILAUEA POINT NATIONAL WILDLIFE REFUGE,1,NWR
Kingman Reef National Wildlife Refuge,119404,KINGMAN REEF NATIONAL WILDLIFE REFUGE,1,NWR
Kirtlands Warbler Wildlife Management Area,119405,KIRTLANDS WARBLER WILDLIFE MANAGEMENT AREA,3,WMA
Kirwin National Wildlife Refuge,119401,KIRWIN NATIONAL WILDLIFE REFUGE,6,NWR
Klamath Marsh National Wildlife Refuge,119407,KLAMATH MARSH NATIONAL WILDLIFE REFUGE,8,NWR
Kodiak National Wildlife Refuge,119414,KODIAK NATIONAL WILDLIFE REFUGE,7,NWR
Kofa National Wildlife Refuge,119408,KOFA NATIONAL WILDLIFE REFUGE,2,NWR
Kootenai National Wildlife Refuge,119409,KOOTENAI NATIONAL WILDLIFE REFUGE,1,NWR
Koyukuk National Wildlife Refuge,119695,KOYUKUK NATIONAL WILDLIFE REFUGE,7,NWR
Kulm Wetland Management District,119410,KULM WETLAND MANAGEMENT DISTRICT,6,WMD
Lacassine National Wildlife Refuge,119411,LACASSINE NATIONAL WILDLIFE REFUGE,4,NWR
Lacreek National Wildlife Refuge,119397,LACREEK NATIONAL WILDLIFE REFUGE,6,NWR
Laguna Atascosa National Wildlife Refuge,119402,LAGUNA ATASCOSA NATIONAL WILDLIFE REFUGE,2,NWR
Laguna Cartagena National Wildlife Refuge,119403,LAGUNA CARTAGENA NATIONAL WILDLIFE REFUGE,4,NWR
Lake Alice National Wildlife Refuge,119406,LAKE ALICE NATIONAL WILDLIFE REFUGE,6,NWR
Lake Andes National Wildlife Refuge,119412,LAKE ANDES NATIONAL WILDLIFE REFUGE,6,NWR
Lake Andes Wetland Management District,119413,LAKE ANDES WETLAND MANAGEMENT DISTRICT,6,WMD
Lake George National Wildlife Refuge,119147,LAKE GEORGE NATIONAL WILDLIFE REFUGE,6,NWR
Lake Ilo National Wildlife Refuge,119415,LAKE ILO NATIONAL WILDLIFE REFUGE,6,NWR
Lake Isom National Wildlife Refuge,119416,LAKE ISOM NATIONAL WILDLIFE REFUGE,4,NWR
Lake Mason National Wildlife Refuge,119417,LAKE MASON NATIONAL WILDLIFE REFUGE,6,NWR
Lake Nettie National Wildlife Refuge,119418,LAKE NETTIE NATIONAL WILDLIFE REFUGE,6,NWR
Lake Ophelia National Wildlife Refuge,119419,LAKE OPHELIA NATIONAL WILDLIFE REFUGE,4,NWR
Lake Thibadeau National Wildlife Refuge,119420,LAKE THIBADEAU NATIONAL WILDLIFE REFUGE,6,NWR
Lake Wales Ridge National Wildlife Refuge,119421,LAKE WALES RIDGE NATIONAL WILDLIFE REFUGE,4,NWR
Lake Woodruff National Wildlife Refuge,119422,LAKE WOODRUFF NATIONAL WILDLIFE REFUGE,4,NWR
Lake Zahl National Wildlife Refuge,119423,LAKE ZAHL NATIONAL WILDLIFE REFUGE,6,NWR
